Section;h, mm;b, mm;t, mm;A, cm2;Ix, cm4;Wx, cm3;rx, cm;Iy, cm4;Wy, cm3;ry, cm;R, mm;m, kg/m
200x40x4;200;40;4;18.15;738.6;73.86;6.38;52.52;26.26;1.7;8;14.25
200x40x4.5;200;40;4.5;20.27;815.3;81.53;6.34;57.07;28.53;1.68;9;15.91
200x40x5;200;40;5;22.36;888.7;88.87;6.3;61.22;30.61;1.65;10;17.55
200x40x5.5;200;40;5.5;24.41;958.8;95.88;6.27;64.98;32.49;1.63;11;19.16
200x40x6;200;40;6;26.43;1026;102.6;6.23;68.37;34.19;1.61;12;20.75
200x40x6.5;200;40;6.5;28.06;1053;105.3;6.13;70.02;35.01;1.58;16.25;22.03
200x40x7;200;40;7;29.96;1107;110.7;6.08;72.5;36.25;1.56;17.5;23.52
200x80x4;200;80;4;21.35;1046;104.6;7;249.6;62.4;3.42;8;16.76
200x80x4.5;200;80;4.5;23.87;1159;115.9;6.97;275.4;68.85;3.4;9;18.74
200x80x5;200;80;5;26.36;1269;126.9;6.94;300.1;75.02;3.37;10;20.69
200x80x5.5;200;80;5.5;28.81;1375;137.5;6.91;323.6;80.91;3.35;11;22.62
200x80x6;200;80;6;31.23;1477;147.7;6.88;346.1;86.53;3.33;12;24.52
200x80x6.5;200;80;6.5;33.26;1539;153.9;6.8;361.7;90.43;3.3;16.25;26.11
200x80x7;200;80;7;35.56;1629;162.9;6.77;381.2;95.29;3.27;17.5;27.91
200x80x7.5;200;80;7.5;37.82;1714;171.4;6.73;399.6;99.89;3.25;18.75;29.69
200x80x8;200;80;8;40.04;1795;179.5;6.7;416.9;104.2;3.23;20;31.43
200x100x4;200;100;4;22.95;1200;120;7.23;410.6;82.12;4.23;8;18.01
200x100x4.5;200;100;4.5;25.67;1331;133.1;7.2;454.4;90.87;4.21;9;20.15
200x100x5;200;100;5;28.36;1459;145.9;7.17;496.6;99.31;4.18;10;22.26
200x100x5.5;200;100;5.5;31.01;1583;158.3;7.14;537.2;107.4;4.16;11;24.34
200x100x6;200;100;6;33.63;1703;170.3;7.12;576.3;115.3;4.14;12;26.4
200x100x6.5;200;100;6.5;35.86;1783;178.3;7.05;604.7;120.9;4.11;16.25;28.15
200x100x7;200;100;7;38.36;1889;188.9;7.02;639.4;127.9;4.08;17.5;30.11
200x100x7.5;200;100;7.5;40.82;1992;199.2;6.99;672.5;134.5;4.06;18.75;32.04
200x100x8;200;100;8;43.24;2090;209;6.95;704;140.8;4.03;20;33.95
200x120x4;200;120;4;24.55;1353;135.3;7.42;617.5;102.9;5.02;8;19.27
200x120x4.5;200;120;4.5;27.47;1503;150.3;7.4;684.7;114.1;4.99;9;21.56
200x120x5;200;120;5;30.36;1649;164.9;7.37;749.8;125;4.97;10;23.83
200x120x5.5;200;120;5.5;33.21;1791;179.1;7.34;812.8;135.5;4.95;11;26.07
200x120x6;200;120;6;36.03;1929;192.9;7.32;873.7;145.6;4.92;12;28.29
200x120x6.5;200;120;6.5;38.46;2026;202.6;7.26;919.5;153.2;4.89;16.25;30.19
200x120x7;200;120;7;41.16;2150;215;7.23;974.3;162.4;4.87;17.5;32.31
200x120x7.5;200;120;7.5;43.82;2270;227;7.2;1027;171.2;4.84;18.75;34.4
200x120x8;200;120;8;46.44;2385;238.5;7.17;1078;179.6;4.82;20;36.46
200x150x5;200;150;5;33.36;1935;193.5;7.62;1245;166;6.11;10;26.18
200x150x5.5;200;150;5.5;36.51;2103;210.3;7.59;1352;180.3;6.09;11;28.66
200x150x6;200;150;6;39.63;2268;226.8;7.56;1457;194.3;6.06;12;31.11
200x150x6.5;200;150;6.5;42.36;2392;239.2;7.51;1538;205.1;6.03;16.25;33.25
200x150x7;200;150;7;45.35;2542;254.2;7.49;1634;217.8;6;17.5;35.6
200x160x5;200;160;5;34.36;2029;202.9;7.69;1442;180.3;6.48;10;26.97
200x160x5.5;200;160;5.5;37.61;2207;220.7;7.66;1568;195.9;6.46;11;29.52
200x160x6;200;160;6;40.83;2380;238;7.64;1690;211.2;6.43;12;32.05
200x160x6.5;200;160;6.5;43.66;2513;251.3;7.59;1785;223.1;6.39;16.25;34.27
200x160x7;200;160;7;46.76;2672;267.2;7.56;1897;237.1;6.37;17.5;36.7
200x160x7.5;200;160;7.5;49.82;2826;282.6;7.53;2005;250.6;6.34;18.75;39.11
200x160x8;200;160;8;52.84;2975;297.5;7.5;2110;263.7;6.32;20;41.48
200x160x8.5;200;160;8.5;55.83;3120;312;7.48;2211;276.4;6.29;21.25;43.83
200x160x9;200;160;9;58.78;3260;326;7.45;2309;288.7;6.27;22.5;46.14
200x160x9.5;200;160;9.5;61.69;3395;339.5;7.42;2404;300.5;6.24;23.75;48.43
200x160x10;200;160;10;64.57;3527;352.7;7.39;2496;312;6.22;25;50.68
200x160x10.5;200;160;10.5;66.45;3557;355.7;7.32;2524;315.5;6.16;31.5;52.16
200x160x11;200;160;11;69.16;3669;366.9;7.28;2603;325.4;6.13;33;54.29
200x160x11.5;200;160;11.5;71.82;3777;377.7;7.25;2679;334.8;6.11;34.5;56.38
200x160x12;200;160;12;74.45;3880;388;7.22;2751;343.9;6.08;36;58.44
200x160x12.5;200;160;12.5;77.03;3979;397.9;7.19;2820;352.5;6.05;37.5;60.47
200x160x13;200;160;13;79.57;4072;407.2;7.15;2886;360.7;6.02;39;62.46
200x160x13.5;200;160;13.5;82.07;4161;416.1;7.12;2948;368.5;5.99;40.5;64.43
200x160x14;200;160;14;84.53;4246;424.6;7.09;3007;375.9;5.96;42;66.36
200x160x14.5;200;160;14.5;86.95;4326;432.6;7.05;3063;382.9;5.94;43.5;68.26
200x160x15;200;160;15;89.33;4401;440.1;7.02;3116;389.5;5.91;45;70.12
200x160x15.5;200;160;15.5;91.66;4472;447.2;6.98;3166;395.7;5.88;46.5;71.95
200x160x16;200;160;16;93.95;4538;453.8;6.95;3213;401.6;5.85;48;73.75
220x100x4;220;100;4;24.55;1519;138.1;7.87;447.4;89.49;4.27;8;19.27
220x100x4.5;220;100;4.5;27.47;1687;153.4;7.84;495.4;99.08;4.25;9;21.56
220x100x5;220;100;5;30.36;1851;168.3;7.81;541.7;108.34;4.22;10;23.83
220x100x5.5;220;100;5.5;33.21;2010;182.7;7.78;586.3;117.26;4.2;11;26.07
220x100x6;220;100;6;36.03;2164;196.7;7.75;629.3;125.86;4.18;12;28.29
220x100x6.5;220;100;6.5;38.46;2270;206.3;7.68;661.6;132.31;4.15;16.25;30.19
220x100x7;220;100;7;41.16;2408;218.9;7.65;699.9;139.99;4.12;17.5;32.31
220x100x7.5;220;100;7.5;43.82;2541;231;7.61;736.6;147.33;4.1;18.75;34.4
220x100x6;220;100;6;46.44;2669;242.7;7.58;771.7;154.34;4.08;12;36.46
220x140x5;220;140;5;34.36;2313;210.3;8.21;1155;165;5.8;10;26.97
220x140x5.5;220;140;5.5;37.61;2516;228.7;8.18;1254;179.2;5.77;11;29.52
220x140x6;220;140;6;40.83;2714;246.7;8.15;1351;193;5.75;12;32.05
220x140x6.5;220;140;6.5;43.66;2862;260.2;8.1;1427;203.7;5.72;16.25;34.27
220x140x7;220;140;7;46.76;3043;276.6;8.07;1515;216.5;5.69;17.5;36.7
220x140x7.5;220;140;7.5;49.82;3218;292.6;8.04;1601;228.7;5.67;18.75;39.11
220x140x8;220;140;8;52.84;3388;308;8.01;1683;240.5;5.64;20;41.48
220x140x8.5;220;140;8.5;55.82;3554;323.1;7.98;1765;252.1;5.62;21.25;43.82
220x140x9;220;140;9;58.77;3713;337.6;7.95;1842;263.2;5.6;22.5;46.14
220x140x9.5;220;140;9.5;61.69;3867;351.6;7.92;1917;273.9;5.57;23.75;48.42
220x140x10;220;140;10;64.56;4017;365.2;7.89;1989;284.1;5.55;25;50.68
220x140x10.5;220;140;10.5;66.45;4042;367.5;7.8;2010;287.1;5.5;31.5;52.16
220x140x11;220;140;11;69.16;4169;379;7.76;2072;295.9;5.47;33;54.29
220x140x11.5;220;140;11.5;71.82;4291;390.1;7.73;2131;304.4;5.45;34.5;56.38
220x140x12;220;140;12;74.45;4407;400.7;7.69;2187;312.4;5.42;36;58.44
220x140x12.5;220;140;12.5;77.03;4518;410.7;7.66;2241;320.1;5.39;37.5;60.47
240x120x5;240;120;5;34.36;2579;215;8.66;882;147;5.07;10;26.97
240x120x5.5;240;120;5.5;37.61;2805;233.8;8.64;957;159.5;5.04;11;29.52
240x120x6;240;120;6;40.83;3026;252.1;8.61;1030;171.6;5.02;12;32.05
240x120x6.5;240;120;6.5;43.66;3188;265.6;8.54;1087;181.2;4.99;16.25;34.27
240x120x7;240;120;7;46.76;3388;282.4;8.51;1153;192.2;4.97;17.5;36.7
240x120x7.5;240;120;7.5;49.82;3583;298.6;8.48;1217;202.8;4.94;18.75;39.11
240x120x8;240;120;8;52.84;3771;314.3;8.45;1278;213.1;4.92;20;41.48
240x120x8.5;240;120;8.5;55.82;3954;329.5;8.42;1339;223.2;4.9;21.25;43.82
240x120x9;240;120;9;58.77;4131;344.2;8.38;1397;232.8;4.87;22.5;46.14
240x120x9.5;240;120;9.5;61.89;4302;358.5;8.35;1452;242;4.85;23.75;48.42
240x120x10;240;120;10;64.56;4466;372.2;8.32;1505;250.8;4.83;25;50.68
240x120x10.5;240;120;10.5;66.45;4485;373.7;8.22;1520;253.3;4.78;31.5;52.16
240x120x11;240;120;11;69.16;4624;385.3;8.18;1565;260.8;4.76;33;54.29
240x120x11.5;240;120;11.5;71.82;4757;396.4;8.14;1608;268;4.73;34.5;56.38
240x120x12;240;120;12;74.45;4883;407;8.1;1649;274.8;4.71;36;58.44
240x120x12.5;240;120;12.5;77.03;5004;417;8.06;1688;281.3;4.68;37.5;60.47
240x120x13;240;120;13;79.57;5118;426.5;8.02;1724;287.4;4.65;39;62.46
240x120x13.5;240;120;13.5;82.07;5226;435.5;7.98;1759;293.1;4.63;40.5;64.43
240x120x14;240;120;14;84.53;5327;443.9;7.94;1791;298.5;4.6;42;66.36
240x120x14.5;240;120;14.5;86.95;5423;451.9;7.9;1822;303.6;4.58;43.5;68.26
240x120x15;240;120;15;89.33;5513;459.4;7.86;1850;308.3;4.55;45;70.12
240x120x15.5;240;120;15.5;91.66;5596;466.3;7.81;1877;312.8;4.52;46.5;71.95
240x120x16;240;120;16;93.95;5674;472.8;7.77;1901;316.9;4.5;48;73.75
240x150x5;240;150;5;37.36;2994;249.5;8.95;1455;194;6.24;10;29.32
240x150x5.5;240;150;5.5;40.91;3259;271.6;8.93;1582;211;6.22;11;32.11
240x150x6;240;150;6;44.43;3519;293.2;8.9;1706;227.5;6.2;12;34.88
240x150x6.5;240;150;6.5;47.56;3720;310;8.84;1806;240.8;6.16;16.25;37.33
240x150x7;240;150;7;50.95;3959;329.9;8.81;1920;256;6.14;17.5;40
240x150x7.5;240;150;7.5;54.32;4192;349.3;8.78;2031;270.8;6.11;18.75;42.64
240x150x8;240;150;8;57.64;4418;368.2;8.75;2138;285.1;6.09;20;45.25
240x160x5;240;160;5;38.36;3132;261;9.04;1683;210.4;6.62;10;30.11
240x160x5.5;240;160;5.5;42.01;3410;284.2;9.01;1831;228.8;6.6;11;32.98
240x160x6;240;160;6;45.63;3683;306.9;8.98;1974;246.8;6.58;12;35.82
240x160x6.5;240;160;6.5;48.86;3896;324.7;8.93;2091;261.4;6.54;16.25;38.35
240x160x7;240;160;7;52.36;4148;345.7;8.9;2224;278.1;6.52;17.5;41.1
240x160x7.5;240;160;7.5;55.82;4394;366.2;8.87;2354;294.2;6.49;18.75;43.82
240x160x8;240;160;8;59.24;4633;386.1;8.84;2480;309.9;6.47;20;46.51
240x160x8.5;240;160;8.5;62.63;4865;405.4;8.81;2602;325.2;6.45;21.25;49.16
240x160x9;240;160;9;65.98;5091;424.2;8.78;2720;340;6.42;22.5;51.79
240x160x9.5;240;160;9.5;69.29;5311;442.5;8.75;2835;354.3;6.4;23.75;54.39
240x160x10;240;160;10;72.57;5524;460.3;8.72;2946;368.2;6.37;25;56.96
240x160x10.5;240;160;10.5;74.86;5590;465.8;8.64;2990;373.8;6.32;31.5;58.76
240x160x11;240;160;11;77.97;5777;481.4;8.61;3088;386.1;6.29;33;61.2
240x160x11.5;240;160;11.5;81.03;5957;496.4;8.57;3183;397.8;6.27;34.5;63.61
240x160x12;240;160;12;84.06;6130;510.9;8.54;3273;409.2;6.24;36;65.99
250x140x5;250;140;5;37.36;3154;252.3;9.19;1292;184.6;5.88;10;29.32
250x140x5.5;250;140;5.5;40.91;3433;274.7;9.18;1404;200.6;5.86;11;32.11
250x140x6;250;140;6;44.43;3707;296.5;9.13;1513;216.2;5.84;12;34.88
250x140x6.5;250;140;6.5;47.56;3917;313.3;9.08;1602;228.8;5.8;16.25;37.33
250x140x7;250;140;7;50.95;4168;333.5;9.04;1702;243.2;5.78;17.5;40
250x140x7.5;250;140;7.5;54.32;4413;353;9.01;1800;257.1;5.76;18.75;42.64
250x140x8;250;140;8;57.64;4651;372.1;8.98;1894;270.6;5.73;20;45.25
250x150x5;250;150;5;38.36;3304;264.3;9.28;1508;201.1;6.27;10;30.11
250x150x5.5;250;150;5.5;42.01;3598;287.8;9.25;1640;218.6;6.25;11;32.98
250x150x6;250;150;6;45.63;3885;310.8;9.23;1768;235.7;6.22;12;35.82
250x150x6.5;250;150;6.5;48.86;4109;328.7;9.17;1872;249.6;6.19;16.25;38.35
250x150x7;250;150;7;52.36;4375;350;9.14;1991;265.4;6.17;17.5;41.1
250x150x7.5;250;150;7.5;55.82;4633;370.7;9.11;2106;280.8;6.14;18.75;43.82
250x150x8;250;150;8;59.24;4885;390.8;9.08;2217;295.7;6.12;20;46.51
250x150x8.5;250;150;8.5;62.62;5130;410.4;9.05;2328;310.4;6.1;21.25;49.16
250x150x9;250;150;9;65.97;5368;429.5;9.02;2433;324.4;6.07;22.5;51.79
250x150x9.5;250;150;9.5;69.29;5600;448;8.99;2535;338;6.05;23.75;54.39
250x150x10;250;150;10;72.56;5824;466;8.96;2634;351.2;6.03;25;56.96
250x150x10.5;250;150;10.5;74.65;5890;471.2;8.87;2674;356.5;5.98;31.5;58.76
250x150x11;250;150;11;77.96;6086;486.9;8.84;2761;368.2;5.95;33;61.2
250x150x11.5;250;150;11.5;81.02;6275;502;8.8;2845;379.3;5.93;34.5;63.6
250x150x12;250;150;12;84.05;6457;516.6;8.77;2925;390;5.9;36;65.98
260x130x6;260;130;6;44.43;3888;299;9.35;1326;204;5.46;12;34.88
260x130x6.5;260;130;6.5;47.56;4106;315.8;9.29;1403;215.8;5.43;16.25;37.33
260x130x7;260;130;7;50.96;4369;336.1;9.26;1490;229.2;5.41;17.5;40
260x130x7.5;260;130;7.5;54.32;4625;355.8;9.23;1574;242.2;5.38;18.75;42.64
260x130x8;260;130;8;57.64;4874;374.9;9.2;1656;254.8;5.36;20;45.25
260x130x8.5;260;130;8.5;60.93;5116;393.5;9.16;1735;266.9;5.34;21.25;47.83
260x130x9;260;130;9;64.18;5350;411.6;9.13;1811;278.6;5.31;22.5;50.38
260x130x9.5;260;130;9.5;67.39;5578;429.1;9.1;1885;290;5.29;23.75;52.9
260x130x10;260;130;10;70.57;5799;446;9.06;1956;300.9;5.26;25;55.39
260x130x10.5;260;130;10.5;72.76;5848;449.8;8.96;1982;305;5.22;31.5;57.12
260x130x11;260;130;11;75.77;6038;464.5;8.93;2044;314.5;5.19;33;59.48
260x130x11.5;260;130;11.5;78.73;6221;478.6;8.89;2103;323.6;5.17;34.5;61.81
260x130x12;260;130;12;81.66;6397;492.1;8.85;2160;332.3;5.14;36;64.1
260x140x5;260;140;5;38.36;3471;267;9.51;1338;191.1;5.91;10;30.11
260x140x5.5;260;140;5.5;42.01;3779;290.7;9.49;1454;207.7;5.88;11;32.98
260x140x6;260;140;6;45.63;4081;313.9;9.46;1567;223.9;5.86;12;35.82
260x140x6.5;260;140;6.5;62.62;5385;414.2;9.27;2059;294.2;5.73;16.25;49.16
260x140x7;260;140;7;65.97;5634;433.4;9.24;2152;307.4;5.71;17.5;51.79
260x140x7.5;260;140;7.5;69.29;5877;452.1;9.21;2241;320.2;5.69;18.75;54.39
260x140x8;260;140;8;72.56;6112;470.2;9.18;2328;332.5;5.66;20;56.96
260x140x8.5;260;140;8.5;74.85;6175;475;9.08;2363;337.5;5.62;21.25;58.76
260x140x9;260;140;9;77.96;6380;490.8;9.05;2439;348.4;5.59;22.5;61.2
260x140x9.5;260;140;9.5;81.02;6577;505.9;9.01;2511;358.8;5.57;23.75;63.6
260x140x10;260;140;10;84.05;6767;520.5;8.97;2581;368.8;5.54;25;65.98
260x140x10.5;260;140;10.5;38.36;3471;267;9.51;1338;191.1;5.91;31.5;30.11
260x140x11;260;140;11;42.01;3779;290.7;9.49;1454;207.7;5.88;33;32.98
260x140x11.5;260;140;11.5;45.63;4081;313.9;9.46;1567;223.9;5.86;34.5;35.82
260x140x12;260;140;12;62.62;5385;414.2;9.27;2059;294.2;5.73;36;49.16
260x240x6;260;240;6;57.63;6017;462.9;10.22;5326;443.83;9.61;12;45.24
260x240x6.5;260;240;6.5;61.86;6404;492.6;10.17;5669;472.43;9.57;16.25;48.56
260x240x7;260;240;7;66.35;6834;525.7;10.15;6049;504.13;9.55;17.5;52.09
260x240x7.5;260;240;7.5;70.82;7256;558.2;10.12;6422;535.18;9.52;18.75;55.59
260x240x8;260;240;8;75.24;7669;589.9;10.1;6787;565.59;9.5;20;59.06
260x240x8.5;260;240;8.5;79.62;8074;621.1;10.07;7144;595.37;9.47;21.25;62.51
260x240x9;260;240;9;83.97;8471;651.6;10.04;7494;624.53;9.45;22.5;65.92
260x240x9.5;260;240;9.5;88.29;8859;681.4;10.02;7836;653.06;9.42;23.75;69.3
260x240x10;260;240;10;91.7;9089;699.2;9.96;8044;670.3;9.37;25;71.98
260x240x10.5;260;240;10.5;95.85;9445;726.6;9.93;8358;696.5;9.34;31.5;75.24
260x240x11;260;240;11;99.96;9792;753.3;9.9;8665;722.1;9.31;33;8.47
260x240x11.5;260;240;11.5;104.02;10131;779.3;9.87;8963;747;9.28;34.5;81.66
260x240x12;260;240;12;108.05;10460;804.6;9.84;9254;771.2;9.25;36;84.82
300x100x6;300;100;6;45.63;4777;318.4;10.23;841.4;168.3;4.29;12;35.82
300x100x6.5;300;100;6.5;48.86;5038;335.9;10.15;888.9;177.8;4.27;16.25;38.35
300x100x7;300;100;7;52.36;5360;357.3;10.12;942.1;188.4;4.24;17.5;41.1
300x100x7.5;300;100;7.5;55.82;5673;378.2;10.08;993.3;198.7;4.22;18.75;43.82
300x100x8;300;100;8;59.24;5977;398.5;10.04;1043;208.5;4.2;20;46.51
300x100x8.5;300;100;8.5;62.63;6273;418.2;10.01;1090;218;4.17;21.25;49.16
300x100x9;300;100;9;65.98;6559;437.3;9.97;1135;227;4.15;22.5;51.79
300x100x9.5;300;100;9.5;69.29;6836;455.8;9.93;1179;235.7;4.12;23.75;54.39
300x100x10;300;100;10;72.57;7105;473.7;9.9;1220;244;4.1;25;56.96
300x100x10.5;300;100;10.5;74.85;7146;476.4;9.77;1240;248;4.07;31.5;58.76
300x100x11;300;100;11;77.96;7376;491.7;9.73;1276;255.2;4.05;33;61.2
300x100x11.5;300;100;11.5;81.02;7596;506.4;9.68;1311;262.1;4.02;34.5;63.6
300x100x12;300;100;12;84.05;7807;520.5;9.64;1343;268.6;4;36;65.98
300x200x6;300;200;6;57.63;7370;491.3;11.31;3961;396.1;8.29;12;45.24
300x200x6.5;300;200;6.5;61.86;7838;522.5;11.26;4217;421.7;8.26;16.25;48.56
300x200x7;300;200;7;66.36;8365;557.7;11.23;4497;449.7;8.23;17.5;52.09
300x200x7.5;300;200;7.5;70.82;8882;592.1;11.2;4771;477.1;8.21;18.75;55.59
300x200x8;300;200;8;75.24;9388;625.9;11.17;5039;503.9;8.18;20;59.07
300x200x8.5;300;200;8.5;79.63;9884;658.9;11.14;5302;530.2;8.16;21.25;62.51
300x200x9;300;200;9;83.98;10370;691.3;11.11;5558;555.8;8.14;22.5;65.92
300x200x9.5;300;200;9.5;88.29;10845;723;11.08;5609;580.9;8.11;23.75;69.31
300x200x10;300;200;10;92.57;11310;754;11.05;6054;605.4;8.09;25;72.66
300x200x10.5;300;200;10.5;95.86;11547;769.8;10.98;6195;619.5;8.04;31.5;75.25
300x200x11;300;200;11;99.97;11970;798;10.94;6418;641.8;8.01;33;78.47
300x200x11.5;300;200;11.5;104;12383;825.5;10.91;6636;663.6;7.99;34.5;81.67
300x200x12;300;200;12;108.1;12784;852.3;10.88;6847;684.7;7.96;36;84.83
320x180x6;320;180;6;57.63;8012;500.8;11.79;3308;367.5;7.56;12;45.24
320x180x6.5;320;180;6.5;61.86;8517;532.3;11.73;3520;391.1;7.54;16.25;48.56
320x180x7;320;180;7;66.36;9089;568.1;11.7;3752;416.9;7.52;17.5;52.09
320x180x7.5;320;180;7.5;70.82;9650;603.1;11.67;3979;442.2;7.5;18.75;55.59
320x180x8;320;180;8;75.24;10200;637.5;11.64;4201;466.8;7.47;20;59.07
320x180x8.5;320;180;8.5;79.63;10738;671.1;11.61;4418;490.9;7.45;21.25;62.51
320x180x9;320;180;9;83.98;11265;704;11.58;4630;514.4;7.42;22.5;65.92
320x180x9.5;320;180;9.5;88.29;11780;736.3;11.55;4636;537.4;7.4;23.75;69.31
350x230x13.5;350;230;13.5;146.9;24326;1390;12.87;14519;1162;9.94;40.5;115.3
350x230x14;350;230;14;151.7;25006;1429;12.84;14920;1194;9.92;42;119.1
350x230x14.5;350;230;14.5;156.5;25671;1467;12.81;15312;1225;9.89;43.5;122.9
350x230x15;350;230;15;161.3;26321;1504;12.77;15695;1256;9.86;45;126.6
350x230x15.5;350;230;15.5;166.1;26957;1540;12.74;16069;1285;9.84;46.5;130.4
350x230x16;350;230;16;170.8;27577;1576;12.71;16433;1315;9.81;48;134
350x230x16.5;350;230;16.5;175.4;28183;1610;12.68;16789;1343;9.78;49.5;137.7
350x230x18;350;230;18;189.1;29911;1709;12.58;17804;1424;9.7;54;148.4
350x230x18.5;350;230;18.5;193.6;30458;1740;12.54;18124;1450;9.68;55.5;152
350x230x19;350;230;19;198;30991;1771;12.51;18437;1475;9.65;57;155.5
350x230x20;350;230;20;206.8;32014;1829;12.44;19035;1523;9.59;60;162.3
350x230x21;350;230;21;215.4;32979;1885;12.37;19600;1568;9.54;63;169.1
350x230x22;350;230;22;223.8;33889;1937;12.3;20131;1611;9.48;66;175.7
350x230x18;350;230;18;189.1;29911;1709;12.58;17804;1424;9.7;54;148.4
350x230x18.5;350;230;18.5;193.6;30458;1740;12.54;18124;1450;9.68;55.5;152
350x300x6;350;300;6;75.63;14232;813.2;13.72;11259;750.6;12.2;12;59.37
350x300x6.5;350;300;6.5;81.36;15210;869.2;13.67;12037;802.5;12.16;16.25;63.87
350x300x7;350;300;7;87.36;16269;929.6;13.65;12872;858.1;12.14;17.5;68.58
350x300x7.5;350;300;7.5;93.32;17312;989.2;13.62;13694;912.9;12.11;18.75;73.26
350x300x8;350;300;8;99.24;18339;1048;13.59;14504;966.9;12.09;20;77.91
350x300x8.5;350;300;8.5;105.1;19351;1106;13.57;15301;1020;12.06;21.25;82.53
350x300x9;350;300;9;111;20347;1163;13.54;16086;1072;12.04;22.5;87.12
350x300x9.5;350;300;9.5;116.8;21328;1219;13.51;16858;1124;12.01;23.75;91.68
350x300x10;350;300;10;122.6;22294;1274;13.49;17618;1175;11.99;25;96.21
350x300x10.5;350;300;10.5;127.4;22948;1311;13.42;18147;1210;11.94;31.5;99.98
350x300x11;350;300;11;133;23855;1363;13.39;18361;1257;11.91;33;104.4
350x300x11.5;350;300;11.5;138.5;24745;1414;13.36;19561;1304;11.88;34.5;108.7
350x300x12;350;300;12;144.1;25619;1464;13.34;20249;1350;11.86;36;113.1
380x220x6;380;220;6;69.63;13885;730.8;14.12;6011;546.4;9.29;12;54.66
380x220x6.5;380;220;6.5;74.86;14810;779.5;14.07;6418;583.4;9.26;16.25;58.76
380x220x7;380;220;7;80.36;15831;833.2;14.04;6854;623.1;9.24;17.5;63.08
380x220x7.5;380;220;7.5;85.82;16836;886.1;14.01;7282;662;9.21;18.75;67.37
400x200x10;400;200;10;112.6;23000;1150;14.29;7859;785.9;8.36;25;88.36
400x200x10.5;400;200;10.5;116.9;23577;1179;14.2;8080;808;8.32;31.5;91.73
400x200x11;400;200;11;122;24485;1224;14.17;8383;838.3;8.29;33;95.74
400x200x11.5;400;200;11.5;127;25374;1269;14.13;8679;867.9;8.27;34.5;99.72
400x200x12;400;200;12;132.1;26245;1312;14.1;8968;896.8;8.24;36;103.7
400x200x12.5;400;200;12.5;137;27097;1355;14.06;9260;926;8.22;37.5;107.6
400x200x13;400;200;13;142;27930;1397;14.03;9536;953.6;8.2;39;111.4
400x200x13.5;400;200;13.5;146.9;28745;1437;13.99;9806;980.6;8.17;40.5;115.3
400x200x14;400;200;14;151.7;29541;1477;13.95;10069;1007;8.15;42;119.1
400x200x14.5;400;200;14.5;156.5;30319;1516;13.92;10325;1033;8.12;43.5;122.9
400x200x15;400;200;15;161.3;31078;1554;13.88;10575;1058;8.1;45;126.6
400x200x15.5;400;200;15.5;166.1;31819;1591;13.84;10818;1082;8.07;46.5;130.4
400x200x16;400;200;16;170.8;32542;1627;13.81;11055;1106;8.05;48;134
400x300x6;400;300;6;81.63;19446;972;15.43;12557;837.1;12.4;12;64.08
400x300x6.5;400;300;6.5;87.86;20801;1040;15.39;13438;895.9;12.37;16.25;68.97
400x300x7;400;300;7;94.35;22261;1113;15.36;14376;958.4;12.34;17.5;74.07
400x300x7.5;400;300;7.5;100.8;23700;1185;15.33;15300;1020;12.32;18.75;79.14
400x300x8;400;300;8;107.2;25121;1256;15.31;16211;1081;12.3;20;84.18
400x300x8.5;400;300;8.5;113.6;26521;1326;15.28;17109;1141;12.27;21.25;89.2
400x300x9;400;300;9;120;27903;1395;15.25;17994;1200;12.25;22.5;94.18
400x300x9.5;400;300;9.5;126.3;29265;1463;15.22;18866;1258;12.22;23.75;99.13
400x300x10;400;300;10;132.6;30607;1530;15.2;19725;1315;12.2;25;104.1
400x300x10.5;400;300;10.5;137.8;31544;1577;15.13;20352;1357;12.15;31.5;108.2
400x300x11;400;300;11;144;32810;1641;15.1;21164;1411;12.12;33;113
400x300x11.5;400;300;11.5;150;34056;1703;15.07;21961;1464;12.1;34.5;117.8
400x300x12;400;300;12;156;35281;1764;15.04;22745;1516;12.07;36;122.5
400x300x12.5;400;300;12.5;162;36485;1824;15.01;23516;1568;12.05;37.5;127.2
400x300x13;400;300;13;168;37669;1883;14.98;24273;1618;12.02;39;131.9
400x300x13.5;400;300;13.5;173.9;38833;1942;14.94;25016;1668;11.99;40.5;136.5
400x300x14;400;300;14;179.7;39976;1999;14.91;25746;1716;11.97;42;141.1
400x300x14.5;400;300;14.5;185.5;41098;2055;14.88;26463;1764;11.94;43.5;145.7
400x300x15;400;300;15;191.3;42201;2110;14.85;27166;1811;11.92;45;150.2
400x300x15.5;400;300;15.5;197.1;43283;2164;14.82;27856;1857;11.89;46.5;154.7
400x300x16;400;300;16;202.8;44346;2217;14.79;28533;1902;11.86;48;159.2
400x300x16.5;400;300;16.5;208.4;45388;2269;14.76;29197;1946;11.84;49.5;163.6
400x300x17;400;300;17;214;46411;2321;14.73;29848;1990;11.81;51;168
400x300x17.5;400;300;17.5;219.6;47414;2371;14.69;30486;2032;11.78;52.5;172.4
400x300x18;400;300;18;225.1;48397;2420;14.66;31111;2074;11.76;54;176.7
400x300x18.5;400;300;18.5;230.6;49360;2468;14.63;31724;2115;11.73;55.5;181
400x300x19;400;300;19;236;50304;2515;14.6;32324;2155;11.7;57;185.3
400x300x20;400;300;20;246.8;52134;2607;14.53;33485;2232;11.65;60;193.7
