№;B;b;t;m;A;R;r;Jx;Wx;ix;Jy;Wy;iy;Jx0;ix0;Jy0;Wy0;iy0;Jxy;x0;y0
75_75_7;0.075;0.075;0.007;7.96;0.001014;0.009;0.003;0.000000533;0.00000989;0.0229;0.000000533;0.00000989;0.0229;0.000000846;0.0289;2.207E-07;0.00000743;0.0147;0.000000312;0.021;0.021
75_75_8;0.075;0.075;0.008;9.02;0.001149;0.009;0.003;0.000000598;0.00001118;0.0228;0.000000598;0.00001118;0.0228;0.000000949;0.0287;0.000000248;0.00000816;0.0147;0.00000035;0.0215;0.0215
75_75_9;0.075;0.075;0.009;10.1;0.001286;0.009;0.003;0.000000661;0.00001243;0.0227;0.000000661;0.00001243;0.0227;0.000001047;0.0286;2.748E-07;0.00000891;0.0146;0.000000386;0.0218;0.0218
80_80_5.5;0.08;0.08;0.0055;6.78;0.000863;0.009;0.003;0.000000527;0.00000903;0.0247;0.000000527;0.00000903;0.0247;0.000000836;0.0311;0.000000218;0.0000071;0.0159;0.000000309;0.0217;0.0217
80_80_6;0.08;0.08;0.006;7.36;0.000938;0.009;0.003;0.00000057;0.0000098;0.0247;0.00000057;0.0000098;0.0247;0.000000904;0.0311;0.000000235;0.0000076;0.0158;0.000000334;0.0219;0.0219
80_80_7;0.08;0.08;0.007;8.51;0.00108;0.009;0.003;0.000000653;0.00001132;0.0245;0.000000653;0.00001132;0.0245;0.000001036;0.0309;0.00000027;0.0000086;0.0158;0.000000383;0.0223;0.0223
80_80_8;0.08;0.08;0.008;9.65;0.001229;0.009;0.003;0.000000734;0.0000128;0.0244;0.000000734;0.0000128;0.0244;0.000001164;0.0308;0.000000303;0.00000944;0.0157;0.00000043;0.0227;0.0227
80_80_10;0.08;0.08;0.01;11.88;0.001514;0.009;0.003;8.358E-07;0.00001567;0.0242;8.358E-07;0.00001567;0.0242;0.000001403;0.0304;3.685E-07;0.00001109;0.0156;0.000000567;0.0235;0.0235
80_80_12;0.08;0.08;0.012;14.05;0.00179;0.009;0.003;1.0274E-06;0.00001842;0.024;1.0274E-06;0.00001842;0.024;0.000001623;0.0301;4.321E-07;0.00001262;0.0155;0.000000595;0.0242;0.0242
90_90_6;0.09;0.09;0.006;8.33;0.00106;0.01;0.0033;0.000000821;0.00001249;0.0278;0.000000821;0.00001249;0.0278;0.0000013;0.035;0.00000034;0.00000988;0.0179;0.000000481;0.0243;0.0243
90_90_7;0.09;0.09;0.007;9.64;0.00123;0.01;0.0033;0.000000943;0.00001445;0.0277;0.000000943;0.00001445;0.0277;0.0000015;0.0349;0.000000389;0.00001115;0.0178;0.000000554;0.0247;0.0247
90_90_8;0.09;0.09;0.008;10.9;0.001388;0.01;0.0033;0.00000106;0.00001636;0.0276;0.00000106;0.00001636;0.0276;0.00000168;0.0348;0.000000438;0.00001234;0.0177;0.000000623;0.0251;0.0251
90_90_9;0.09;0.09;0.009;12.2;0.001554;0.01;0.0033;0.00000118;0.00001829;0.0275;0.00000118;0.00001829;0.0275;0.00000186;0.0346;0.000000486;0.00001348;0.0177;0.00000068;0.0255;0.0255
90_90_10;0.09;0.09;0.01;13.5;0.001717;0.01;0.0033;0.000001286;0.00002007;0.0274;0.000001286;0.00002007;0.0274;0.000002039;0.0345;5.327E-07;0.00001454;0.0176;0.000000753;0.0259;0.0259
90_90_12;0.09;0.09;0.012;16;0.002033;0.01;0.0033;0.000001497;0.00002385;0.0271;0.000001497;0.00002385;0.0271;0.000002359;0.0341;0.000000624;0.00001653;0.0175;0.000000862;0.0267;0.0267
100_100_6.5;0.1;0.1;0.0065;10.1;0.001286;0.012;0.004;0.00000122;0.0000167;0.0309;0.00000122;0.0000167;0.0309;0.00000193;0.0388;5.073E-07;0.0000134;0.0199;0.000000714;0.0268;0.0268
100_100_7;0.1;0.1;0.007;10.8;0.001375;0.012;0.004;0.00000131;0.0000179;0.0308;0.00000131;0.0000179;0.0308;0.00000207;0.0388;5.416E-07;0.0000141;0.0198;0.000000764;0.0271;0.0271
100_100_8;0.1;0.1;0.008;12.2;0.00156;0.012;0.004;0.00000147;0.0000203;0.0307;0.00000147;0.0000203;0.0307;0.00000233;0.0387;6.092E-07;0.0000157;0.0198;0.000000863;0.0275;0.0275
100_100_10;0.1;0.1;0.01;15.1;0.00192;0.012;0.004;0.00000179;0.000025;0.0305;0.00000179;0.000025;0.0305;0.00000284;0.0384;7.408E-07;0.0000185;0.0196;0.0000011;0.0283;0.0283
100_100_12;0.1;0.1;0.012;17.9;0.00228;0.012;0.004;0.00000209;0.0000295;0.0303;0.00000209;0.0000295;0.0303;0.00000331;0.0381;8.684E-07;0.0000211;0.0195;0.00000122;0.0291;0.0291
100_100_14;0.1;0.1;0.014;20.6;0.002623;0.012;0.004;0.00000237;0.0000338;0.03;0.00000237;0.0000338;0.03;0.00000375;0.0378;9.932E-07;0.0000235;0.0194;0.00000138;0.0299;0.0299
100_100_15;0.1;0.1;0.015;22;0.002799;0.012;0.004;0.000002507;0.000036;0.0299;0.000002507;0.000036;0.0299;0.000003959;0.0376;1.0548E-06;0.0000246;0.0194;0.00000145;0.0303;0.0303
100_100_16;0.1;0.1;0.016;23.3;0.002967;0.012;0.004;0.00000264;0.00003804;0.0298;0.00000264;0.00003804;0.0298;0.00000416;0.0374;0.000001116;0.00002579;0.0194;0.00000152;0.0306;0.0306
110_110_7;0.11;0.11;0.007;11.9;0.001515;0.012;0.004;0.000001756;0.0000218;0.034;0.000001756;0.0000218;0.034;0.00000279;0.0429;7.268E-07;0.00001736;0.0219;0.00000106;0.0296;0.0296
110_110_8;0.11;0.11;0.008;13.5;0.00172;0.012;0.004;0.000001982;0.0000248;0.0339;0.000001982;0.0000248;0.0339;0.00000315;0.0428;8.183E-07;0.00001929;0.0218;0.00000116;0.03;0.03
