№;B;b;t;m;A;R;r;Jx;Wx;ix;Jy;Wy;iy;Ju;Wu;iu;x0;y0;Jxy;tga
160_100_9;0.16;0.1;0.009;17.96;0.002287;0.013;0.0043;6.0597E-06;0.00005604;0.0515;1.8603E-06;0.00002396;0.0285;0.000001104;0.00002001;0.022;0.0224;0.052;0.00000194;0.319
160_100_10;0.16;0.1;0.01;19.85;0.002528;0.013;0.0043;6.6659E-06;0.00006191;0.0513;2.0409E-06;0.00002642;0.0284;1.2116E-06;0.00002202;0.0219;0.0227;0.052412975;0.00000213;0.39
160_100_12;0.16;0.1;0.012;23.58;0.003003;0.013;0.0043;7.8422E-06;0.00007342;0.0511;2.3875E-06;0.00003123;0.0282;1.4214E-06;0.00002593;0.0218;0.0235;0.053258741;0.00000249;0.388
160_100_14;0.16;0.1;0.014;27.26;0.003479;0.013;0.0043;0.000008971;0.00008465;0.0508;0.000002716;0.00003589;0.028;1.6249E-06;0.00002975;0.0216;0.0242;0.05393159;0.00000282;0.385
180_110_10;0.18;0.11;0.01;22.2;0.002833;0.014;0.0047;9.5228E-06;0.00007859;0.058;2.7637E-06;0.00003227;0.0312;1.6544E-06;0.00002696;0.0242;0.0244;0.058948112;0.00000295;0.376
180_110_12;0.18;0.11;0.012;26.4;0.003369;0.014;0.0047;1.12256E-05;0.00009333;0.0577;3.2409E-06;0.0000382;0.031;1.9428E-06;0.00003183;0.024;0.0251;0.059796972;0.00000348;0.374
200_125_11;0.2;0.125;0.011;27.37;0.003486;0.014;0.0047;1.44902E-05;0.00010731;0.0645;4.4636E-06;0.00004598;0.0358;2.6384E-06;0.00003827;0.0275;0.0279;0.065088067;0.00000465;0.392
200_125_12;0.2;0.125;0.012;29.74;0.003787;0.014;0.0047;1.56819E-05;0.00011651;0.0643;4.8193E-06;0.00004985;0.0357;2.8504E-06;0.00004145;0.0274;0.0283;0.065523105;0.00000503;0.392
200_125_14;0.2;0.125;0.014;34.43;0.004385;0.014;0.0047;1.80083E-05;0.00013464;0.0641;5.5077E-06;0.00005743;0.0354;3.2654E-06;0.00004757;0.0273;0.0291;0.066334778;0.00000575;0.39
200_125_16;0.2;0.125;0.016;39.07;0.004976;0.014;0.0047;2.02608E-05;0.00015241;0.0638;6.1666E-06;0.0000648;0.0352;3.6699E-06;0.00005356;0.0272;0.0299;0.06711254;0.00000643;0.388
